date,Kabupaten,NDVI_8Day_Mean
2014-01-09,Majalengka,0.44357257763696645
2014-01-09,Purwakarta,0.5859030688631028
2014-01-09,Subang,0.4998493110226408
2014-01-09,Sukabumi,0.4585247369999465
2014-01-09,Sumedang,0.5323984336155876
2014-01-09,Kota Bekasi,0.25689734967333666
2014-01-09,Kota Depok,0.3438569630102404
2014-01-17,Bandung,0.16255537719438784
2014-01-17,Kota Cimahi,0.019211175439240214
2014-01-17,Kota Tasikmalaya,0.19913398698376664
2014-01-17,Tasikmalaya,0.4044479658997172
2014-01-17,Ciamis,0.4591557588427965
2014-01-17,Kota Banjar,0.380411155002341
2014-01-17,Bekasi,0.04325724927462514
2014-01-17,Bogor,0.042083225955473105
2014-01-17,Cianjur,0.42960281859426375
2014-01-17,Cirebon,0.19295709649757042
2014-01-17,Garut,0.394963908380806
2014-01-17,Indramayu,0.05490614602764351
2014-01-17,Karawang,0.0460571269027805
2014-01-17,Kota Bandung,0.17157581647640918
2014-01-17,Kota Bogor,0.006805081606868488
2014-01-17,Kota Cirebon,0.12030507762725334
2014-01-17,Kota Sukabumi,0.4163368298509137
2014-01-17,Kuningan,0.3389377977962436
2014-01-17,Majalengka,0.094370311718349
2014-01-17,Purwakarta,0.044825165424492934
2014-01-17,Subang,0.058323125134493496
2014-01-17,Sukabumi,0.41733218562131247
2014-01-17,Sumedang,0.1478654720472631
2014-01-17,Kota Bekasi,0.05515929533619971
2014-01-17,Kota Depok,0.027063277798566654
2014-01-25,Bandung,0.5898524800511415
2014-01-25,Kota Cimahi,0.41092377269700925
2014-01-25,Kota Tasikmalaya,0.6434380182683833
2014-01-25,Tasikmalaya,0.7371426966763349
2014-01-25,Ciamis,0.7047896642725687
2014-01-25,Kota Banjar,0.6334615829926417
2014-01-25,Bekasi,0.16317325970961233
2014-01-25,Bogor,0.3658642978917418
2014-01-25,Cianjur,0.6680331083781579
2014-01-25,Cirebon,0.42213299504148716
2014-01-25,Garut,0.6831986854665145
2014-01-25,Indramayu,0.2594234724747127
2014-01-25,Karawang,0.17161230478109124
2014-01-25,Kota Bandung,0.3936397449746758
2014-01-25,Kota Bogor,0.3810895475693355
2014-01-25,Kota Cirebon,0.37488042753074297
2014-01-25,Kota Sukabumi,0.5032834801519528
2014-01-25,Kuningan,0.5276981682344501
2014-01-25,Majalengka,0.5540770802030899
2014-01-25,Purwakarta,0.4170147516632384
2014-01-25,Subang,0.38065847551665366
2014-01-25,Sukabumi,0.695378083644119
2014-01-25,Sumedang,0.4467206575980237
2014-01-25,Kota Bekasi,0.13459508041533802
2014-01-25,Kota Depok,0.2126261790390979
2014-02-33,Bandung,0.30327460402504375
2014-02-33,Kota Cimahi,0.3114415698482889
2014-02-33,Kota Tasikmalaya,0.5933615466798827
2014-02-33,Tasikmalaya,0.6616809121875684
2014-02-33,Ciamis,0.6251268210076906
2014-02-33,Kota Banjar,0.6568871384408042
2014-02-33,Bekasi,0.21977170102487514
2014-02-33,Bogor,0.20117124971103223
2014-02-33,Cianjur,0.5557426734717678
2014-02-33,Cirebon,0.3126148407028348
2014-02-33,Garut,0.496582371724199
2014-02-33,Indramayu,0.21008217396503737
2014-02-33,Karawang,0.2397580957565958
2014-02-33,Kota Bandung,0.2479397879857837
2014-02-33,Kota Bogor,0.17312680328066296
2014-02-33,Kota Cirebon,0.2005394297033456
2014-02-33,Kota Sukabumi,0.4179447760143085
2014-02-33,Kuningan,0.31388737452344806
2014-02-33,Majalengka,0.303228732596368
2014-02-33,Purwakarta,0.177196594654706
2014-02-33,Subang,0.1622534668464962
2014-02-33,Sukabumi,0.6528110087606127
2014-02-33,Sumedang,0.2023644317087672
2014-02-33,Kota Bekasi,0.20927223177189536
2014-02-33,Kota Depok,0.20292819768924553
2014-02-41,Bandung,0.5199261992175488
2014-02-41,Kota Cimahi,0.2507042229311794
2014-02-41,Kota Tasikmalaya,0.6282646778152496
2014-02-41,Tasikmalaya,0.7334766220154515
2014-02-41,Ciamis,0.7149777168812266
2014-02-41,Kota Banjar,0.6940896299507194
2014-02-41,Bekasi,0.24013274717691005
2014-02-41,Bogor,0.4019477118895144
2014-02-41,Cianjur,0.671847614598038
2014-02-41,Cirebon,0.4098702795704336
2014-02-41,Garut,0.7182583751324819
2014-02-41,Indramayu,0.412988739996696
2014-02-41,Karawang,0.28531416131650134
2014-02-41,Kota Bandung,0.28633916814731547
2014-02-41,Kota Bogor,0.2582336681490783
2014-02-41,Kota Cirebon,0.2581621764371079
